name,domain,screenshot_position,intent,good_pattern,avoid,localization_notes
app-01-main-value,app productivity consumer mobile saas wellness education finance,1,main value or outcome,"Verb plus concrete outcome: Plan your week; Track every habit; Review weak words","Best app; #1; Download now; vague hype; unsupported outcomes","Keep 2-6 words; allow 30-100 percent text expansion."
app-02-core-workflow,app productivity consumer mobile saas wellness education finance,2,core workflow,"Action clarity: Capture ideas fast; Scan every receipt; Review every task","Tiny process text; feature not visible; too many verbs","Use one visible action from the screenshot; avoid idioms."
app-03-differentiator,app productivity consumer mobile saas wellness education finance,3,differentiating feature,"Specific benefit: See patterns clearly; Compare every option; Learn smarter words","AI magic claims without visible evidence; unverifiable superiority","If translated copy grows, keep line breaks intentional."
app-04-personalization-progress,app productivity consumer mobile wellness education,4,personalization progress history,"User-owned progress: Build your streak; Save your routine; Follow your progress","Fake testimonials; fake user count; ranking claims","Progress terms must match the UI language and metric."
app-05-trust-control,app productivity consumer mobile saas finance health,5,trust privacy settings control,"Reassurance: Stay in control; Protect your data; Adjust every alert","Security/health/finance guarantees unless verified; legal claims","Use plain language; avoid promises that become compliance claims."
saas-01-dashboard-value,saas admin dashboard crm analytics,1,operational value,"Operational outcome: See queue health; Review accounts faster; Track team load","Marketing hero copy; huge abstract benefit; unsupported ROI","Keep dashboard terminology consistent with product labels."
saas-02-workflow,saas admin dashboard crm analytics,2,workflow and filters,"Workflow clarity: Filter every queue; Resolve tasks faster; Compare account risk","Decorative charts not in app; tiny table text as proof","Caption should point to one visible workflow."
finance-01-trust,finance fintech banking payments analytics,1,trust and clarity,"Trust-first value: Review spending clearly; Track every payment; Monitor risk","Profit guarantees; investment returns; pressure CTAs","Avoid investment-performance promises and locale-sensitive money claims."
health-01-care,health wellness clinic medical,1,care or habit outcome,"Calm outcome: Track symptoms gently; Book care faster; Follow your plan","Medical claims; cure language; alarming words","Prefer calm wording; verify regulated claims manually."
education-01-learning,education language kids learning,1,learning outcome,"Learning result: Practice every day; Review weak words; Learn with context","Guaranteed grades; ranking claims; pressure language","Leave extra room for translated education terms."
game-01-gameplay,game mobile horror hyper casual puzzle rpg action strategy,1,real gameplay or fantasy,"Fantasy plus verb: Survive the ward; Solve under pressure; Race the clock","Main menu only; fake poster art; cinematic scene without gameplay","Keep gameplay visible; avoid covering controls or board."
game-02-core-mechanic,game mobile horror hyper casual puzzle rpg action strategy,2,core mechanic,"Mechanic clarity: Dash past danger; Match under pressure; Build your squad","Mechanic not visible; confusing metaphor; long tutorial copy","Use the same verb the player would use in-game."
game-03-progression-shop,game mobile horror hyper casual puzzle rpg action strategy,3,progression upgrade shop loadout,"Progress promise: Upgrade your kit; Unlock new tools; Build your loadout","Paywall pressure; sale urgency; fake rewards","Avoid implying paid offers or discounts unless current and verified."
game-04-variety-challenge,game mobile horror hyper casual puzzle rpg action strategy,4,challenge level boss mission event,"Content depth: Face new threats; Explore new stages; Beat tougher missions","Fake boss; fake event; time-limited claim that will expire","Avoid time-sensitive event copy unless the asset is seasonal."
game-05-collection-mastery,game mobile horror hyper casual puzzle rpg action strategy,5,collection social mastery,"Long-term hook: Collect rare gear; Climb the ranks; Master every level","Fake leaderboard rank; unverifiable social proof; #1 claims","If ranking is real, avoid claiming store/category rank."
horror-game-01-gameplay,horror game survival mobile,1,atmosphere through real gameplay,"Tense gameplay: Survive the ward; Find the tape; Escape the basement","Poster background hiding gameplay; gore shock copy; fake monster","Translated horror nouns can grow; keep caption zone wide."
horror-game-03-progression,horror game survival mobile,3,tools missions shop,"Progression: Upgrade your light; Unlock safer routes; Prepare each run","Bright arcade sale language; reward not visible","Keep tone restrained and theme-native."
hyper-casual-01-instant-read,hyper casual game puzzle runner mobile,1,instant mechanic readability,"Instant action: Tap at the right time; Stack higher; Clear the path","Complex lore; main menu; long caption","Short verbs work best; make room for large type."
cozy-game-01-fantasy,cozy farming sim lifestyle game,1,cozy player fantasy,"Cozy fantasy: Grow your garden; Build your farm; Decorate your home","High-pressure urgency; aggressive monetization copy","Localize nouns carefully; keep tone warm and simple."
strategy-game-01-depth,strategy tactical rpg game,1,strategic fantasy,"Strategic value: Command the squad; Control the map; Plan every turn","Overloaded battle text; fake win rate; unsupported AI claim","Use precise verbs; avoid jargon outside target audience."
feature-graphic-core-value,google-play feature graphic app game,0,feature graphic core value,"Core value: one focal UI/game moment plus short brand-consistent phrase","Tiny details; cutoff-zone text; duplicate app icon branding; store badges","Localize graphic text; keep focal content centered."
audit-copy-risk,app game store screenshot aso,any,copy risk audit,"Rewrite risky copy into visible-screen value: Best becomes Track progress; Download now becomes Start a plan","Best; #1; Top; New; Free; Discount; Sale; Million Downloads; Download now; Install now; Play now; Try now","Risk words often expand awkwardly in localization; remove rather than translate."
listing-app-store-title,app-store listing metadata aso,listing,title keyword focus,"Brand or product name plus one primary search phrase when natural","Keyword stuffing; repeated subtitle/keyword terms; competitor brands; unverifiable ranking claims","30 chars max; localize title variants instead of translating mechanically."
listing-app-store-subtitle,app-store listing metadata aso,listing,subtitle value support,"One clear value phrase that complements the title","Repeating title terms; vague hype; unsupported outcomes; direct install CTAs","30 chars max; reserve expansion room for localized nouns."
listing-app-store-keywords,app-store listing metadata aso,listing,hidden keyword discipline,"Comma-separated unique search terms not already in title/subtitle","Duplicate keywords; competitor brands; broad unrelated traffic words; spaces wasted on repeated phrases","100 chars including commas; validate per locale."
listing-google-play-title,google-play listing metadata aso,listing,title keyword focus,"Readable title with primary keyword only if it fits the brand","Keyword stuffing; store badges; competitor brands; ranking or price claims","30 chars max; title is visible and weighted."
listing-google-play-short,google-play listing metadata aso,listing,short description hook,"One compact benefit tied to visible product value","Dense feature list; hype; unverifiable promises; direct download/install CTA","80 chars max; write separate localized short descriptions."
listing-google-play-full,google-play listing metadata aso,listing,full description structure,"Lead with value, then proof, features, trust, and support details","Keyword lists; repeated title terms; copied competitor phrasing; stale event claims","4000 chars max; localize examples, units, and compliance wording."
