name,domain,mode,bg,surface,content,muted,border,primary,accent,success,warning,danger,notes
slate-admin-dark,saas admin dashboard tool,dark,#0f1115,#171a21,#e6e9ef,#9aa3b2,#2a2f3a,#4c8dff,#38bdf8,#3fb950,#d29922,#f85149,Quiet neutral base with one blue action; good for dense operational tools.
slate-admin-light,saas admin dashboard tool,light,#f7f8fa,#ffffff,#1a2230,#5b6577,#dfe3ea,#2f6df6,#0ea5e9,#1a8f3c,#b5710a,#d23b2f,Low-chrome light workspace; borders before shadows.
fintech-trust-dark,fintech banking finance payments,dark,#0b1220,#131c2e,#eaf0f8,#94a3b8,#243349,#3b82f6,#22d3ee,#16a34a,#eab308,#ef4444,Sober trustworthy base; reserve green/red for gain/loss not decoration.
fintech-trust-light,fintech banking finance payments,light,#f5f7fb,#ffffff,#14223a,#5a6a82,#dde4ee,#2456c8,#0891b2,#15803d,#a16207,#c2410c,Calm light finance UI; tabular numbers and explicit units.
analytics-signal-dark,analytics dashboard data charts bi,dark,#0d1117,#161b22,#e8edf3,#8b97a7,#262d38,#7c5cff,#34d399,#2ea043,#d2a012,#e5534b,Neutral canvas so chart colors carry meaning; avoid saturated backgrounds.
devtool-terminal-dark,developer tools code ide terminal,dark,#0a0e14,#11161f,#dde3ec,#8089a0,#1f2630,#6aa3ff,#5ed3f0,#4ec9b0,#d7ba7d,#f14c4c,High-legibility dark for code; pair with a mono font for tokens.
health-calm-light,healthcare medical wellness clinic,light,#f4f8f9,#ffffff,#11272c,#54707a,#d6e3e6,#1f8a8a,#3aa0c2,#2e8b57,#c08a1e,#cc4b3c,Calm clinical palette; teal primary reads caring not alarming.
kids-learn-light,kids education learning playful,light,#fff9f0,#ffffff,#2a2440,#6b6486,#f0e6d8,#6c4cf0,#ff8a3d,#36c275,#ffb020,#ff5a5a,Bright but controlled; keep semantic states readable under playful accents.
ecommerce-clean-light,ecommerce shop retail product,light,#f6f6f7,#ffffff,#1d2129,#646c7a,#e4e6ea,#111827,#e8623d,#1f9d55,#c47f10,#d23b3b,Neutral product-first canvas; near-black primary keeps photos dominant.
social-warm-light,social consumer chat community,light,#fafafa,#ffffff,#1a1c20,#6a7079,#e6e8ec,#2c6bed,#ff5c8a,#26a65b,#e0a317,#e23b50,Friendly consumer base; accent for likes/highlights, not whole UI.
news-readable-light,news reading content editorial blog,light,#fbfaf8,#ffffff,#1b1a17,#5f5c54,#e6e3dd,#b8341f,#1f6feb,#2e7d4f,#9a7212,#c0392b,Warm paper tone for long reading; serif headings recommended.
travel-airy-light,travel maps booking hospitality,light,#f3f8fb,#ffffff,#0f2433,#56707f,#d5e4ec,#0e7ec4,#ff7a45,#1c9e6f,#d39314,#d64f43,Open airy palette; orange accent for CTAs over photography.
music-immersive-dark,music streaming media entertainment,dark,#0c0c10,#16161d,#ededf2,#9494a3,#26262f,#8b5cf6,#22d3a8,#2dbd6e,#e0a818,#ef4d5a,Immersive dark for media browsing; let cover art provide color.
productivity-focus-light,productivity notes tasks calendar,light,#f7f7f6,#ffffff,#1c1d22,#646671,#e3e3e6,#3d57e0,#0ea5a5,#1f9d55,#c08416,#d2433a,Quiet focus palette; one accent so the next action is obvious.
casual-puzzle-bright,casual puzzle mobile game candy,light,#fff6ea,#ffffff,#3a2a16,#7a6650,#f2e2cc,#ff7a2f,#ffcf3a,#48c46a,#ffac1c,#ff4d5e,Toy-like warmth; keep board contrast high and danger/moves readable.
hyper-casual-bright,hyper casual mobile runner toy arcade,light,#eef9ff,#ffffff,#172033,#657085,#d8e7f0,#ff6b35,#4cc9f0,#48c774,#ffcc33,#ff4d5a,Bright toy-like starter; keep playfield clean and text on solid surfaces.
fun-party-bright,fun party arcade celebration mobile,light,#fff8f0,#ffffff,#241a2f,#735f7f,#f1dcec,#ff4f81,#ffd447,#28b978,#ff9f1c,#e5484d,Energetic party palette; balance saturated accents with calm readable cards.
fantasy-rpg-parchment,fantasy rpg inventory medieval,dark,#15110b,#211a10,#f3e8d2,#b9a784,#3a2e1c,#d8a544,#5fc7b0,#73c46b,#e0a72e,#d75646,Parchment-and-gold theme; reserve rarity glow for items not chrome.
scifi-tactical-dark,sci-fi tactical strategy hud space,dark,#06090f,#0e141d,#dcf2f4,#7f97a0,#1b2a33,#2bd4d4,#ff8c42,#37d67a,#ffc24b,#ff5b5b,Dark tactical base with cyan accent; warning colors only for true urgency.
horror-survival-dark,horror survival tense dark,dark,#0a0908,#141210,#e7e2db,#8a8178,#272320,#9a3b34,#b5743a,#5f8f4f,#c08a2a,#d23b2f,Sparse tense palette; red strictly for danger/damage/alarm.
cozy-lifestyle-light,cozy lifestyle calm personal home,light,#f7f3ee,#fffdfa,#2b2620,#6f675c,#e7ded2,#c47a52,#7aa874,#4f9d6b,#cf9a3e,#cf6651,Warm muted comfort palette; avoid all-beige low contrast.
racing-signal-dark,racing sports garage timer competition,dark,#0b0d0e,#15191b,#f2f4ef,#9aa39b,#2b3330,#e83f35,#f5b642,#2fbf71,#f0b429,#ff4646,Asphalt and signal palette; speed data must remain readable.
strategy-map-muted,strategy tactical map war room board,dark,#11120e,#1c2018,#e8e3d5,#9f9b8d,#32382b,#7d9a54,#b28b4a,#6fab63,#c29a37,#c55547,Muted map-room palette; faction colors and alerts should carry meaning.
historical-archive-dark,historical period ottoman archive museum manuscript mission game,dark,#120f0b,#1f1a12,#efe5cf,#b8a98f,#3a3125,#9d6f35,#4f8f8a,#4f9a68,#b8832a,#c64a3d,Period archive palette; use material cues and avoid generic sepia or gold frames.
historical-archive-light,historical period archive museum manuscript app,light,#f7f1e4,#fffaf0,#211a12,#6f604d,#e4d7bf,#7a4f28,#2f7f78,#3f8f5e,#9a6b1e,#b34235,Light period documentation palette; readable ledger surfaces without fake parchment everywhere.
premium-luxury-dark,premium luxury fashion minimal,dark,#0c0b0a,#15140f,#f1ece2,#9b9588,#2a2820,#c8a96a,#d8cfbe,#3f9d6b,#bf9a3a,#c0473b,Refined dark luxury; one metallic accent, keep contrast honest.
fitness-energy-dark,fitness sport health tracker,dark,#0c1014,#151b21,#e9eff4,#8a97a3,#232c34,#16d39a,#ff5d5d,#1fb874,#f2b431,#ff4d4d,Energetic dark tracker; lime/green progress, red for limits and alerts.
food-delivery-light,food delivery restaurant menu,light,#fbf7f3,#ffffff,#23170f,#6e5b4d,#ece0d4,#e8522e,#ffb02e,#2e9d5b,#e08a1e,#d83a2a,Appetizing warm light palette; orange CTA over food photography.
idle-incremental-bright,idle incremental economy automation mobile game,light,#f3fbff,#ffffff,#172032,#647084,#d7e8f0,#3a7afe,#27c3a8,#35b86b,#d99417,#e24c4c,Calm bright automation palette; progress and income stay readable.
merge-workshop-bright,merge crafting workshop mobile game,light,#fff7ea,#ffffff,#312316,#786655,#efdcc3,#f06a3d,#7bc96f,#3fac62,#d79a22,#de4b45,Tactile workshop palette; item cards should feel physical not noisy.
tower-defense-war-dark,tower defense strategy lane defense game,dark,#10120f,#1a1f18,#ece7d8,#9f9a8a,#303729,#8ea64f,#d08a3a,#6fbf62,#c5a13a,#d65448,Muted battlefield palette; lanes and threat states must remain clear.
card-battler-table-dark,card battler deck tactics game,dark,#101018,#1b1a26,#ede8f5,#a49bb7,#312f42,#8a6ff0,#d9a441,#54b778,#d19a28,#df4f5c,Dark table palette; cards and rarity carry color not the whole screen.
roguelike-dungeon-dark,roguelike dungeon run loot game,dark,#0b0c0e,#151719,#ece7dc,#9a9488,#2b2e31,#7b8f5a,#b77a45,#68a85d,#c28c32,#d34d41,Dungeon run palette; danger is distinct from ambient darkness.
platformer-adventure-bright,platformer adventure side scroller game,light,#eef8ff,#ffffff,#1b2434,#617080,#d8e8ef,#3978f2,#ffb238,#36b979,#d99318,#e54f4f,Readable adventure palette; sky and terrain accents stay playful.
fps-action-tactical-dark,fps action shooter combat hud game,dark,#080b0e,#12171b,#edf2f5,#8d9aa2,#253039,#d94f3f,#4aa3ff,#36b26b,#d7a72e,#ff4b4b,High tension action palette; ammo and threat must be glanceable.
survival-crafting-earth,survival crafting wilderness inventory game,dark,#10110d,#1c1d16,#eee8d6,#a59d86,#343527,#8ca95a,#c48545,#6eaf62,#c49a35,#d45848,Earthy survival palette; resources and condition states stay clear.
