alias,expansion,notes
korku,horror survival dark tense,Turkish horror theme
gerilim,horror thriller tense dark,Turkish thriller tone
karanlik,dark moody shadow,Turkish dark mood
morg,morgue hospital horror survival,Concrete horror background anchor
mezarlik,cemetery graveyard horror survival,Concrete horror background anchor
hastane,hospital medical corridor horror health,Hospital context
eglence,fun party arcade playful,Turkish fun theme
eglenceli,fun party arcade playful,Turkish playful adjective
parti,party celebration arcade social,Party theme
komik,fun playful casual,Comedic playful tone
oyun,game mobile browser hud menu,Turkish game
mobil oyun,mobile game touch hud,Turkish mobile game phrase
hyper casual,hyper casual mobile runner toy arcade,Common genre phrase
hiper casual,hyper casual mobile runner toy arcade,Turkish spelling for hyper casual
gorev,mission quest objective target,Turkish mission
gorev secim,mission select quest objective,Turkish mission select phrase
ana menu,main menu start continue settings,Turkish main menu
menu,menu navigation start settings,Menu term
magaza,shop store purchase inventory price,Turkish shop
dukkan,shop store purchase inventory price,Turkish shop synonym
alisveris,shop ecommerce purchase checkout,Turkish shopping
envanter,inventory item gear equipment,Turkish inventory
ekipman,loadout gear equipment inventory,Turkish equipment
seviye,level progression stage map,Turkish level
bolum,level stage chapter mission,Turkish chapter or level
yaris,racing sports garage track speed timer,Turkish racing
garaj,garage racing vehicle loadout,Turkish garage
araba,car vehicle racing garage,Turkish car
hiz,speed racing runner performance,Turkish speed
spor,sports racing scoreboard competition,Turkish sports
strateji,strategy tactical war room map command,Turkish strategy
taktik,tactical strategy command map,Turkish tactical
savas,war battle strategy action combat,Turkish war or battle
harita,map strategy tactical level navigation,Turkish map
rahat,cozy lifestyle calm soft,Turkish calm cozy
sakin,cozy calm lifestyle wellness,Turkish calm
sicak,warm cozy lifestyle,Turkish warm tone
bahce,garden cozy farming lifestyle,Turkish garden
kafe,cafe cozy lifestyle social,Turkish cafe
cocuk,kids education playful safe,Turkish kids
egitim,education learning kids,Turkish education
okul,school classroom education kids,Turkish school
fantastik,fantasy rpg medieval magic,Turkish fantasy
buyu,magic fantasy rpg spell,Turkish magic
orta cag,medieval fantasy rpg,Turkish medieval phrase
bilim kurgu,sci-fi tactical space future,Turkish sci-fi phrase
uzay,space sci-fi tactical,Turkish space
